Motivo Teletrabajo,Provincia Contrato (grupo),Finalizado,Provincia Contrato,Contratos,Anio Fecha Inicio Teletrabajo,Canton Contrato,Estado Teletrabajo,Fecha Consulta,Genero,Mes Fecha Inicio Teletrabajo,Modo Ejecucion,Ruc Empresa
Emergente,PICHINCHA,Finalizado,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Masculino,4,Teletrabajo,1.79206E+12
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2021,QUITO,Activo,14/11/2022,Femenino,12,Teletrabajo,1.79111E+12
Habitual,PICHINCHA,Vigente,PICHINCHA,1,2019,QUITO,Activo,14/11/2022,Masculino,10,Teletrabajo,1716423940
Emergente,SANTO DOMINGO DE LOS TS?CHILAS,Vigente,SANTO DOMINGO DE LOS TS?CHILAS,1,2020,SANTO DOMINGO DE LOS TS?CHILAS,Activo,14/11/2022,Femenino,3,Teletrabajo,2.39002E+12
Emergente,PICHINCHA,Vigente,PICHINCHA,12,2020,QUITO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.7914E+12
Emergente,PICHINCHA,Vigente,PICHINCHA,6,2020,QUITO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.79171E+12
Emergente,CHIMBORAZO,Vigente,CHIMBORAZO,5,2020,ALAUSI,Activo,14/11/2022,Femenino,3,Teletrabajo,6.9171E+11
Habitual,MANABI,Finalizado,MANABI,3,,MANTA,Activo,14/11/2022,Masculino,,Teletrabajo,1.31327E+12
Emergente,TUNGURAHUA,Finalizado,TUNGURAHUA,24,2020,AMBATO,Activo,14/11/2022,Masculino,3,Teletrabajo,1.89015E+12
Habitual,PICHINCHA,Vigente,PICHINCHA,4,2019,QUITO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.79196E+12
Emergente,GUAYAS,Finalizado,GUAYAS,50,2020,GUAYAQUIL,Activo,14/11/2022,Masculino,3,Teletrabajo,9.90379E+11
Habitual,GUAYAS,Finalizado,GUAYAS,1,,GUAYAQUIL,Activo,14/11/2022,Femenino,,Teletrabajo,1.79032E+12
Emergente,GUAYAS,Vigente,GUAYAS,1,2020,EMPALME,Activo,14/11/2022,Masculino,3,Teletrabajo,9.92445E+11
Habitual,SUCUMBIOS,Finalizado,SUCUMBIOS,1,,SUCUMBIOS,Activo,14/11/2022,Masculino,,Teletrabajo,1.79213E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,2,2020,QUITO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.79123E+12
Emergente,COTOPAXI,Finalizado,COTOPAXI,1,2020,LATACUNGA,Activo,14/11/2022,Femenino,3,Teletrabajo,9.92527E+11
Emergente,PICHINCHA,Finalizado,PICHINCHA,1,2021,QUITO,Activo,14/11/2022,Femenino,4,Teletrabajo,1.79275E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,2,2021,QUITO,Activo,14/11/2022,Femenino,4,Teletrabajo,1.79214E+12
Habitual,SANTO DOMINGO DE LOS TS?CHILAS,Finalizado,SANTO DOMINGO DE LOS TS?CHILAS,1,2019,SANTO DOMINGO DE LOS TS?CHILAS,Activo,14/11/2022,Femenino,11,Teletrabajo,9.29631E+11
Emergente,IMBABURA,Vigente,IMBABURA,1,2020,IBARRA,Activo,14/11/2022,Femenino,3,Teletrabajo,1.89176E+12
Habitual,PICHINCHA,Finalizado,PICHINCHA,1,2022,QUITO,Activo,14/11/2022,Masculino,4,Teletrabajo,1.79298E+12
Habitual,PICHINCHA,Finalizado,PICHINCHA,1,2021,QUITO,Activo,14/11/2022,Femenino,12,Teletrabajo,1.79198E+12
Emergente,GUAYAS,Finalizado,GUAYAS,4,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,8,Teletrabajo,1.79233E+12
Emergente,PICHINCHA,Vigente,PICHINCHA,7,2020,QUITO,Activo,14/11/2022,Masculino,3,Teletrabajo,1.79072E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,1,2021,QUITO,Activo,14/11/2022,Masculino,12,Teletrabajo,1.7901E+12
Habitual,GUAYAS,Finalizado,GUAYAS,2,,GUAYAQUIL,Activo,14/11/2022,Masculino,,Teletrabajo,9.12079E+11
Emergente,PICHINCHA,Finalizado,PICHINCHA,6,2020,QUITO,Activo,14/11/2022,Masculino,3,Teletrabajo,1.79273E+12
Emergente,AZUAY,Finalizado,AZUAY,1,2020,CUENCA,Activo,14/11/2022,Femenino,7,Teletrabajo,1.79031E+12
Emergente,EL ORO,Finalizado,EL ORO,1,2020,MACHALA,Activo,14/11/2022,Masculino,3,Teletrabajo,9.90369E+11
Emergente,GUAYAS,Vigente,GUAYAS,1,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,3,Teletrabajo,9.93149E+11
Habitual,PICHINCHA,Vigente,PICHINCHA,1,2021,QUITO,Activo,14/11/2022,Femenino,7,Teletrabajo,1.79214E+12
Emergente,GUAYAS,Vigente,GUAYAS,9,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,10,Teletrabajo,9.91218E+11
Emergente,SANTA ELENA,Vigente,SANTA ELENA,1,2020,SANTA ELENA,Activo,14/11/2022,Masculino,5,Teletrabajo,9.92879E+11
Emergente,LOJA,Finalizado,LOJA,2,2020,LOJA,Activo,14/11/2022,Femenino,3,Teletrabajo,7.90002E+11
Emergente,GUAYAS,Finalizado,GUAYAS,8,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,11,Teletrabajo,9.92526E+11
Emergente,GUAYAS,Vigente,GUAYAS,31,2020,GUAYAQUIL,Activo,14/11/2022,Masculino,4,Teletrabajo,9.90095E+11
Emergente,EL ORO,Vigente,EL ORO,1,2020,MACHALA,Activo,14/11/2022,Masculino,3,Teletrabajo,1.19177E+12
Habitual,GUAYAS,Finalizado,GUAYAS,1,,GUAYAQUIL,Activo,14/11/2022,Masculino,,Teletrabajo,9.90692E+11
Habitual,ORELLANA,Vigente,ORELLANA,3,,EL COCA,Activo,14/11/2022,Masculino,,Teletrabajo,1.79126E+12
Habitual,GUAYAS,Vigente,GUAYAS,1,2021,GUAYAQUIL,Activo,14/11/2022,Femenino,7,Teletrabajo,9.09503E+11
Emergente,EL ORO,Vigente,EL ORO,1,2020,PASAJE,Activo,14/11/2022,Femenino,3,Teletrabajo,1.7909E+12
Emergente,GUAYAS,Vigente,GUAYAS,2,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,3,Teletrabajo,9.90554E+11
Emergente,PICHINCHA,Finalizado,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Femenino,6,Teletrabajo,1.71175E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,2,2020,QUITO,Activo,14/11/2022,Masculino,3,Teletrabajo,1.00036E+12
Emergente,IMBABURA,Finalizado,IMBABURA,7,2020,IBARRA,Activo,14/11/2022,Femenino,3,Teletrabajo,1.79262E+12
Habitual,GUAYAS,Vigente,GUAYAS,1,2022,GUAYAQUIL,Activo,14/11/2022,Masculino,9,Teletrabajo,1.90156E+11
Habitual,GUAYAS,Finalizado,GUAYAS,1,,DURAN,Activo,14/11/2022,Masculino,,Teletrabajo,9.91375E+11
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2021,QUITO,Activo,14/11/2022,Femenino,2,Teletrabajo,1.79286E+12
Emergente,SANTA ELENA,Vigente,SANTA ELENA,1,2021,SANTA ELENA,Activo,14/11/2022,Femenino,4,Teletrabajo,1.7901E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,13,2020,QUITO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.79097E+12
Emergente,ORELLANA,Vigente,ORELLANA,1,2020,EL COCA,Activo,14/11/2022,Masculino,3,Teletrabajo,1.79133E+12
Emergente,GUAYAS,Vigente,GUAYAS,3,2021,GUAYAQUIL,Activo,14/11/2022,Masculino,5,Teletrabajo,9.93017E+11
Habitual,PICHINCHA,Finalizado,PICHINCHA,1,,QUITO,Activo,14/11/2022,Masculino,,Teletrabajo,9.90815E+11
Habitual,TUNGURAHUA,Finalizado,TUNGURAHUA,1,,AMBATO,Activo,14/11/2022,Masculino,,Teletrabajo,1.89175E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,6,2020,QUITO,Activo,14/11/2022,Masculino,3,Teletrabajo,1.79131E+12
Habitual,GUAYAS,Vigente,GUAYAS,1,,SAMBORONDON,Activo,14/11/2022,Masculino,,Teletrabajo,9.93329E+11
Emergente,PICHINCHA,Finalizado,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Masculino,3,Teletrabajo,1.79231E+12
Habitual,EL ORO,Finalizado,EL ORO,1,,MACHALA,Activo,14/11/2022,Femenino,,Teletrabajo,9.01473E+11
Emergente,PICHINCHA,Finalizado,PICHINCHA,3,2020,QUITO,Activo,14/11/2022,Masculino,3,Teletrabajo,1.7921E+12
Emergente,GUAYAS,Vigente,GUAYAS,1,2020,GUAYAQUIL,Activo,14/11/2022,Masculino,3,Teletrabajo,1.79229E+12
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2021,QUITO,Activo,14/11/2022,Femenino,4,Teletrabajo,1.79292E+12
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Femenino,10,Teletrabajo,1.79319E+12
Emergente,TUNGURAHUA,Finalizado,TUNGURAHUA,1,2020,AMBATO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.89014E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,2,2020,QUITO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.89004E+12
